title,price,rating,color,mrp,ram,brand,storage,discount,star,model,screen_size,cpu,os,graphic_card,graphic_coprocessor,availability
"Dell 14 Laptop, 12th Gen Intel Core i5-1235U Processor, 16GB, 512GB, 14.0"" (35.56cm) FHD Display, Windows 11 + MSO'21, Spill-Resistant Keyboard, 15 Month Mcafee, Black, Thin & Light- 1.48kg","48,990.",433,Black,"₹62,511",16 GB,Dell,"14"" i3-1215U 8 GB",-22%,,Vostro,14 Inches,Core i5,Windows 11 Home,Integrated,Intel UHD Graphics 620,In stock
"Dell 15 Laptop, Intel Core i5-1135G7 Processor/ 8GB/ 1TB+256GB SSD/15.6""(39.62cm) FHD Display/Mobile Connect/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Black/Thin & Light 1.69kg","44,990.",487,Black,"₹60,793",8 GB,Dell,"15.6"" 16GB/512GB SSD",-26%,,Vostro 3510,15.6,Core i5,Windows 11 Home,Integrated,,In stock
"Dell 14 Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/Thin & Light 1.48kg","34,990.",433 ratings,Dark Silver,"₹57,778",8 GB,Dell,"14"" i3-1215U 8 GB",-39%,3.8,Vostro 3420,14 Inches,Core i3 Family,Windows 11 Home,Integrated,,In stock
"Dell 15 Laptop, Intel 12th Gen Core i3-1215U Proc/8GB DDR4/512GB SSD/Intel UHD Graphic/15.6"" (38cm) FHD Display/Spill-Resistant Keyboard/Win11+MSO'21/15 Month McAfee/Black/Thin & Light 1.69kg","35,490.",433 ratings,Black,"₹48,692",8 GB,Dell,"14"" i3-1215U 8 GB",-27%,3.8,Vostro 3520,15.6 Inches,Core i3 Family,Windows 11 Home,Integrated,,In stock
"Dell 14 Laptop, 12th Gen Intel Core i5-1235U Processor, 16GB, 512GB, 14.0"" (35.56cm) FHD Display, Windows 11 + MSO'21, Spill-Resistant Keyboard, 15 Month Mcafee, Black, Thin & Light- 1.48kg","48,990.",433 ratings,Black,"₹62,511",16 GB,Dell,"14"" i3-1215U 8 GB",-22%,3.8,Vostro,14 Inches,Core i5,Windows 11 Home,Integrated,Intel UHD Graphics 620,In stock
"Dell 15 Laptop, Intel Core i5-1135G7 Processor/16GB DDR4/512GB SSD/Intel UHD Graphic/15.6"" (39.562cm) FHD Display/Win 11+MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Carbon/Thin & Light 1.69kg","46,990.",487,Carbon,"₹66,349",16 GB,Dell,"15.6"" 16GB/512GB SSD",-29%,,Vostro 3510,15.6 Inches,Core i5,Windows 11 Home,Integrated,,In stock
"Dell 15 Laptop, Intel Core i3-1115G4 Processor/8GB DDR4/512GB SSD/Intel UHD Graphics/15.6"" (39.6cm) FHD 120Hz Refresh, 250 nits/Mobile Connect/Win 11+MSO'21/15 Month McAfee/Black/Thin & Light-1.66kg","33,990.",695,Black,"₹44,683",8 GB,Dell,8GB & 1TB+256GB SSD,-24%,,Vostro 3520,15.6 Inches,Core i3,Windows 11 Home,Integrated,,In stock
"Dell 15 Laptop, 12th Gen Intel Core i5-1235U Processor, 8GB, 512GB SSD, 15.6"" (39.62cm) FHD Display, Win 11 + MSO'21, 15 Month McAfee Antivirus, Black, Spill-Resistant Keyboard, Thin & Light- 1.66kg","46,490.",433 ratings,Black,"₹62,511",8 GB,Dell,"14"" i3-1215U 8 GB",-26%,3.8,Vostro 3520,15.6 Inches,Core i5,Windows 11 Home,Integrated,,In stock
"Dell 15 Laptop, Intel Core i5-1135G7 Processor/ 8GB/ 1TB+256GB SSD/15.6""(39.62cm) FHD Display/Mobile Connect/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Black/Thin & Light 1.69kg","44,990.",487 ratings,Black,"₹60,793",8 GB,Dell,"15.6"" 16GB/512GB SSD",-26%,3.5,Vostro 3510,15.6,Core i5,Windows 11 Home,Integrated,,In stock
"(Renewed) DELL Latitude 5490 Core i5 8th Gen Laptop, 16 GB RAM, 512GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","24,590.",535 ratings,Black,"₹1,85,479.00",16 GB,Dell,,,3.3,Latitue 5490,14 Inches,Core i5 Family,Windows 10 Pro,Integrated,,In stock
"HP Chromebook X360,Intel Celeron N4120,14-Inch (35.6 Cm),Hd,4Gb Lpddr4,64Gb Emmc,Intel Uhd Graphics,Thin&Light,Dual Speakers,Brightview Display (Chrome 64,White,1.49 Kg),Ca0505Tu,Chrome OS","26,990.",408,White,"₹32,292",4 GB,HP,,-16%,,Chromebook,14 Inches,Celeron N4020,Chrome OS,Integrated,,In stock
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam","16,990.","3,922 ratings",,"₹34,990",8 GB,Chuwi,HeroBook Plus,-51%,4.0,HeroBook Pro,14.1 Inches,Celeron N4020,Windows 11,Integrated,Intel UHD Graphics 600,In stock
"Dell 14 Laptop, AMD Ryzen R5-5500U/ 8GB DDR4, 2400 MHz/ 512GB/ 14.0"" (35.56cm) FHD Display with Comfort View/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Carbon Black/ 1.48kg","35,990.",13,Carbon Black,"₹50,396",8 GB,Dell,R5-5500U,-29%,,Dell 3425,14 Inches,Ryzen 5 5500U,Windows 11 Home,Integrated,,In stock
"Dell Inspiron 3520 Laptop, Intel Core i5-1235U Processor, 16GB,512GB,15.6"" (39.62cm) FHD Display, Backlit Keyboard, Win 11 + MSO'21,15 Month McAfee, Silver, Thin & Light-1.65kg","51,925.",9,Silver,"₹67,210",16 GB,Dell,i3-1215U Black,-23%,,Inspiron 3520,15.6 Inches,Core i5,Windows 11 Home,Integrated,,In stock
"Dell 14, Intel 12th Gen Core i5-1235U Processor Laptop/8GB/512GB SSD/14.0"" (35.56cm) FHD Display/Intel UHD Graphics/Spill-Resistant Keyboard/Win 11 + MSO'21/Black/15 Month McAfee, Thin & Light-1.48kg","45,990.",433,Black,"₹61,438",8 GB,Dell,"14"" i3-1215U 8 GB",-25%,,Vostro 3420,14 Inches,Core i5,Windows 11 Home,Integrated,,In stock
"Dell 14 Metal Body Premium Laptop, Intel Core i5-1235U Proc/16GB DDR4/512GB SSD/Intel UHD Graphics/14.0"" (35.56cm) FHD/Backlit Keyboard/Thin & Light 1.48kg/Win 11 + MSO'21/15 Month McAfee/Dark Silver","56,990.",67,Dark Silver,"₹98,301",16 GB,Dell,16GB+ 512GB,-42%,,Vostro,14 Inches,Core i5,Windows 11 Home,Integrated,,In stock
"Dell Inspiron 5425 Laptop, AMD Ryzen R7-5825U/16GB DDR4/512GB SSD/14.0"" (35.56cm) FHD+ 250 nits with Comfort View/Backlit KB/Win 11 + MSO'21 + 15 Month McAfee/Platinum Silver/Thin & Light-1.54kg","56,490.",2 ratings,Platinum Silver,"₹90,110",16 GB,Dell,,-37%,4.0,Inspiron 5425,14 Inches,Ryzen 7,Windows 11 Home,Integrated,,In stock
"Dell 15 Laptop, Intel Core i5-1135G7 Processor/ 8GB DDR4/ 512GB SSD/ 15.6"" (39.62cm) FHD/Mobile Connect/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Carbon Black/Thin & Light-1.69kg","43,990.",487 ratings,Carbon Black,"₹59,658",8 GB,Dell,"15.6"" 16GB/512GB SSD",-26%,3.5,Vostro 3510,15.6 Inches,Core i5,Windows 11,Integrated,,In stock
"Dell Inspiron 5430 Laptop, 13th Gen Intel Core i7-1360P Processor/16GB/1TB SSD/14.0"" (35.56cm) FHD+ WVA 250 nits/Backlit KB + FPR/Win 11 + MSO'21/15 Month McAfee/Platinum Silver/Thin & Light- 1.59kg","86,730.",89 ratings,Platinum Silver,"₹1,09,137",16 GB,Dell,"i5, 8GB & 512GB",-21%,3.7,Inspiron 14 5430,14 Inches,Core i7,Windows 11 Home,Integrated,,In stock
"(Renewed) Dell Latitude Laptop E5470 Intel Core i5 6th Gen. - 6200u Processor, 8 GB Ram & 256 GB SSD, 14.1 Inches HD Screen Notebook Computer","15,589.","1,565 ratings",Black,,256 GB,Dell,,,3.4,Latitude,14.1 Inches,Core i5 6200U,Windows 10 Pro,Integrated,intel,In stock
"ASUS Vivobook 16X (2022), 16.0-inch (40.64 cms) FHD+ 16:10, AMD Ryzen 5 5600H, Thin and Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.80 kg), M1603QA-MB501WS","46,890.","1,174 ratings",Transparent Silver,"₹1,04,990",8 GB,ASUS,R5 7530U (8GB),-55%,4.2,Vivobook 16X (2022),40.64 Centimetres,Ryzen 5,Windows 11 Home,Integrated,,In stock
"ASUS Vivobook 16, Intel®Core™ i3-1215U 12th Gen, 16-inch (40.64 cm) FHD+, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/FingerPrint/Black/1.88kg), X1605ZAB-MB322WS","37,990.",500 ratings,Indie Black,"₹55,990",8 GB,ASUS,"i3-1215U (Black) - 16"" (40.64 cm)",-32%,4.0,ASUS Vivobook 16,40.64 Centimetres,Core i3,Windows 11 Home,Integrated,,In stock
"ASUS Vivobook 16 (2023), Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+, Thin & Light Laptop (16GB/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Silver/1.88 kg) X1605VA-MB946WS","84,990.",131,Cool Silver,"₹1,16,990",16 GB,ASUS,1TB SSD (Black),-27%,,ASUS Vivobook 16,40.64 Centimetres,Core i9,Windows 11 Home,Integrated,,In stock
"ASUS Vivobook 14, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS","35,990.",183 ratings,Blue,"₹56,990",8 GB,ASUS,14 Inch | 8GB+512GB SSD | Fingerprint,-37%,4.0,Vivobook,14 Inches,Core i3,Windows 11 Home,Integrated,,In stock
"Dell G15-5530 Gaming Laptop, Intel Core i5-13450HX Processor, 16GB DDR5, 1TB, NVIDIA RTX 3050,6GB GDDR6, 15.6"" (39.62cm) FHD 120Hz 250 nits, Backlit KB Orange,Win 11 + MSO'21, Dark Shadow Gray, 2.65kg","79,990.",300 ratings,Dark Shadow Gray with Black thermal shelf,"₹1,07,215",16 GB,Dell,"i5-12500H, 8GB",-25%,4.1,Dell Gaming G15,15.6 Inches,Core i5,Windows 11 Home,Dedicated,,In stock
"Dell Inspiron 7430 2in1 Touch Laptop, 13th Gen Intel Core i3-1315U/8GB/1TB SSD/14.0"" (35.56cm) FHD+,16:10 Aspect Ratio/Backlit KB+FPR/Win 11+MSO'21/15 Months McAfee/Platinum Silver/Thin & Light-1.58kg","58,490.",16 ratings,silver,"₹80,198",8 GB,Dell,,-27%,3.7,Inspiron,14 Inches,Core i3,Windows 11 Home,Integrated,,In stock
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, 14"" (35.56 cm) FHD, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/Office 2021/42WHr /Black/1.38 kg), E1404FA-NK325WS","33,990.",15 ratings,Black,"₹50,990",8 GB,ASUS,1TB SSD,-33%,4.4,Vivobook Go 14,14 Inches,Ryzen 3,Windows 11 Home,Integrated,,In stock
